comment_id,match_id,match_name,home_team,away_team,current_innings,innings_id,over,ball,runs,shortText,isBoundary,isWide,isNoball,batsman1_id,batsman1_name,batsman1_runs,batsman1_balls,bowler1_id,bowler1_name,bowler1_overs,bowler1_maidens,bowler1_runs,bowler1_wkts,batsman2_id,batsman2_name,batsman2_runs,batsman2_balls,bowler2_id,bowler2_name,bowler2_overs,bowler2_maidens,bowler2_runs,bowler2_wkts,wicket_id,wkt_batsman_name,wkt_bowler_name,wkt_batsman_runs,wkt_batsman_balls,wkt_text,isRetiredHurt,text,preText,postText
112020,1298179,ENG v PAK,PAK,ENG,PAK,1,13,2,0,"Stokes to Iftikhar Ahmed, OUT",False,False,False,480603,Iftikhar Ahmed,0,6,311158,Ben Stokes,2.2,0,14,1,233901,Shan Masood,23,15,244497.0,Adil Rashid,3.0,1.0,14.0,2.0,480603.0,Iftikhar Ahmed,Ben Stokes,0.0,6.0,Iftikhar Ahmed c &dagger;Buttler b Stokes 0 (8m 6b 0x4 0x6) SR: 0.00,False,"<B>nibbles outside off, thin edge to Buttler!</B> Line and length from Stokes, extra lift off the seam, a thin but audible nick and that's a huge five minutes for the balance of play! More evidence, though, that this pitch is offering plenty to the seamers... and Pakistan have plenty of those!",<p>Today's average speed for Rashid is below 80kph for the first time this tournament. Focussing on the spin. A bit of a delay for running repairs to Masood</p>,"<p>Khalid: ""Plz tell us about the rain, coming or not? I'm not talking about the rain Adil Rashid is showering, but the real rain"" Hopefully not! Seems to be passing either side of Melbourne...</p>"
212040,1298170,PAK v SA,PAK,SA,SA,2,13,4,0,"Naseem Shah to Stubbs, OUT",False,False,False,595978,Tristan Stubbs,18,18,1158088,Naseem Shah,2.4,0,19,1,550215,Kagiso Rabada,0,1,1185538.0,Mohammad Wasim,2.0,0.0,13.0,1.0,595978.0,Tristan Stubbs,Naseem Shah,18.0,18.0,T Stubbs c Mohammad Nawaz b Naseem Shah 18 (28m 18b 0x4 1x6) SR: 100.00,False,"<b>slower bouncer, pulled to deep square leg!</b> Naseem wins this battle, and Pakistan are winning this contest. Excellent headology from one youngster to another, Stubbs can't generate enough power and it's a simple, low catch coming in off the rope","<p>Manav reckons this is done: ""This result has made things interesting with Group 2. India, Bangladesh, Pakistan, SA all have a chance at the semis spot.""</p>","<p>Anrich Nortje heads out, the RRR rocketing</p>"
115060,1298166,AFG v SL,AFG,SL,AFG,1,16,6,0,"DM de Silva to Najibullah Zadran, OUT",False,False,False,524049,Najibullah Zadran,18,16,465793,Dhananjaya de Silva,1.0,0,9,1,352048,Gulbadin Naib,9,11,826689.0,Pramod Madushan,3.0,0.0,24.0,0.0,524049.0,Najibullah Zadran,Dhananjaya de Silva,18.0,16.0,Najibullah Zadran c PWH de Silva b DM de Silva 18 (29m 16b 1x4 0x6) SR: 112.50,False,<strong>Dhananjaya delivers! Gets the left-hander and Sri Lanka rejoice</strong>. Extra flight on that one and bowls it fuller around off. Najibullah looks to clear long-off but ends up slicing it and finds Hasaranga in the deep. Timely strike for the Lankans given how dangerous Najib can be at the death.,<p>Rajitha warming up...</p>,"<p>Hansitha: ""the time Dhananjaya introduced to bowling is totally wrong. now batsman are in hitting mode. he should have bowled somewhere between 6-12"" He would be smiling if he reads this comment.:)</p>"
27010,1298163,NED v PAK,NED,PAK,PAK,2,8,1,0,"Glover to Fakhar Zaman, OUT",False,False,False,512191,Fakhar Zaman,20,16,595419,Brandon Glover,1.1,0,4,1,323389,Mohammad Rizwan,29,22,1193548.0,Tim Pringle,1.0,0.0,12.0,0.0,512191.0,Fakhar Zaman,Brandon Glover,20.0,16.0,Fakhar Zaman c &dagger;Edwards b Glover 20 (27m 16b 3x4 0x6) SR: 125.00,False,"<strong>Screamer from Edwards!</strong> Dives full length to his left after being a tad wrong-footed to end Fakhar's stay. Glover lands it on a full length just outside off, not quite the driving length. But Fakhar goes for it through the off side and only manages a thick nick, that is pouched well.",<p>Glover to continue from around the wicket.</p>,"<p>Just a reminder that moments like that stunning grab from Edwards could be one of the <a href=""https://www.fancraze.com/icc?utm_source=cricinfo&utm_medium=partnership&utm_campaign=2022_10_16_cricinfo_commentary_cotd"">Crictos of the Game</a>. If you want to sign up to own Crictos from the next game, you can head over to our digital collectibles affiliates <a href=""https://www.fancraze.com/icc?utm_source=cricinfo&utm_medium=partnership&utm_campaign=2022_10_16_cricinfo_commentary_cotd"">FanCraze</a> and join the queue.</p>"
219020,1298161,NZ v SL,NZ,SL,SL,2,20,2,0,"Sodhi to Kumara, OUT",False,False,False,784375,Lahiru Kumara,4,5,559066,Ish Sodhi,3.2,0,21,2,499594,Kasun Rajitha,8,21,232364.0,Tim Southee,4.0,1.0,12.0,1.0,784375.0,Lahiru Kumara,Ish Sodhi,4.0,5.0,CBRLS Kumara st &dagger;Conway b Sodhi 4 (10m 5b 1x4 0x6) SR: 80.00,False,"Down the ground, goes for the big heave and gets nowhere near it. Easiest of stumpings completed, as New Zealand record a <b>65-run win!</b>","<p>Vishal Kalwani: ""Are SL knocked out of the world cup after this loss? or still an outside chance?"" <em>Very slim</em> chance.</p>","<p>And on that note, it's time for us take our leave. The <a href=""https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2022-23-1298134/points-table-standings"">points table</a> should be updated shortly, and remember, tomorrow is a triple header with BanvZim, NedvPak and IndvSA all taking place. So be sure to join us for that. Until then, for myself, Shashank Kishore and Chandan Duorah, it's goodbye!</p><p>NZ skipper <b>Kane Williamson</b>: ""[what did you think of the match?] Yeah it was interesting, the wicket was different to what we were expecting. It was tennis ball-ey, got stuck on the surface, the cutters were really effective, little bit variable I think - as opposed to the last pitch we were on. So I guess trying to make those sort of adjustments on the same sort of grounds is important, and Sri Lanka were also really good at the top. And then Glenn Phillips and Daryll Mitchell put together a partnership, and it was an incredible knock to get a very very good total on this surface. [On Phillips?] Any hundred is amazing and you see it all the time on good surfaces, and here you see a guy trying to have to work really, really hard to get his team out of  trouble. And then to try and move that pressure on to the opposition, and he just did it incredibly well.""</p><p>SL skipper <b>Dasun Shanaka</b>: ""I think we started really well, particularly in the first 10 overs. But credit to Glenn Phillips who played an outstanding knock. We also dropped a few catches. 160 is always a tough ask with their bowling attack, but also Boult and Southee bowled really well up front. [losing so many wickets in the powerplay?] There's a way to chase big totals, and in the first couple of tables you have to give yourself a chance. We never got settled in the wicket. [approach the next two games] If we get a couple of wins, we're still in with a chance of qualifying, so just looking forward to that.""</p><p>JOYDEEPSINGHGIL: ""I'm sure if sl didn't drop Phillips catch nz score would've below 135 and sl would've chased that amount of runs could've rain biter match than completely one sided today wasn't sl day they misfielded missed run out chances too and dropped the crucial catch of Phillips which eventually costed them this match."" 'Ifs' and 'ands' etc., but had SL approached that chase smarter it might not have mattered. </p><p>Rohit: ""Will join hordes of others in hopes of getting this published - Phillips won by 2 runs."" Ha! You're not wrong Rohit. Lucky you I guess.</p><p><b>Glenn Phillips</b> is the <b>Player of the Match</b> for his 64-ball 104: ""[discussions at 3 for 15] Me and Daryll were really clear we wanted to be as positive as possible, and try and make the right positive choice. On a pitch like that it was a little difficult to hit the slower ball, so it was just about getting through and trying to get to a competitive total. At the end of the day I think we were a little bit above par. [how much did you enjoy your innings] I try to entertain as much possible, and today it worked out well. But the way the bowlers bowl and the catches that were taken, it was incredible from the team as well. [what does it mean to score a century in a WC?] It's absolutely indescribable, but for it's just about sticking to my process.""</p><p><b>10.25pm</b> Well, that's that and what started as quite a harrowing test of New Zealand's credentials has ended in a romp. Following on from Glenn Phillips' masterful century to help put up a competitive 167, Tim Southee and Trent Boult broke the back of the Lankan chase to reduce Sri Lanka to 8 for 4 inside the powerplay. There was the faintest of hopeful glimmers when Dasun Shanaka and Bhanuka Rajapaksa were at the crease, but the ask by that point seemed always beyond them. In the end the chase just petered out, as NZ recorded their second straight comprehensive win of the tournament. They're well on their way to the semis, barring something calamitous, while Sri Lanka now need to win their remaining two games and hope other results go their way.</p>"
219060,1298158,PAK v ZIM,ZIM,PAK,PAK,2,20,6,1,"Evans to Shaheen Shah Afridi, 1 run, OUT",False,False,False,1072470,Shaheen Shah Afridi,1,1,696127,Brad Evans,4.0,0,25,2,1185538,Mohammad Wasim,12,13,806241.0,Richard Ngarava,4.0,0.0,24.0,0.0,1072470.0,Shaheen Shah Afridi,Brad Evans,1.0,1.0,Shaheen Shah Afridi run out 1 (3m 1b 0x4 0x6) SR: 100.00,False,"<strong>Chakabva fumbles the relay but still recovers in time to get the bails off at the striker's end to deny the game-tying run! Zimbabwe win by one run!</strong> Full on fifth stump, driven to long-on. The fielder is Raza who was standing 10 yards in to begin with to deny a second and the ploy works. Raza charges in and collects on the edge of the 30-yard circle fires a one-bounce throw to the striker's end - Wasim took an enormous head start at the non-striker's end so throwing to the bowler was futile - Chakabva fumbles in nervous fashion initially but recovers to pick the ball up and get the bails off with Shaheen's dive a yard short.",<p>Shaheen to face it.</p>,"<p></p>
<div class=""embedded-media-card"" data-id=""2190601"" data-source=""livestream"" data-url=""https://livestream.com/accounts/6115179/events/10662285""></div>
<p><b>10.38 pm</b> Raza tackles Evans with a hug that brings them both to the turf. Zimbabwe goes bonkers on the field and there's wild cheers from a strong Zimbabwean contingent in the stands. The Zimbabwean squad does a mini-lap of honor high-fiving the healthy contingent of fans who have come out to support them.</p><p><b>Player of the Match is Sikandar Raza: </b> ""I think I'm lost for words. My throat's dry, probably because of all the emotions. I can't tell you how proud I am of this bunch of boys. The way our seamers started at the top as well is just unbelievable and the way we backed it up in the field and the way we kept believing, I don't think there's any words I can share right now. [On wrist tapping signal to Craig Ervine] When we were coming to Australia, I said to my captain, 'If you become Man of the Match, pick any watch from the catalogue and I'll buy you. But if I win Man of the Match, then you're gonna buy me one. So I'm just reminding him that you now owe me three watches now actually. One more thing I thought. There was a small clip sent to me this morning of Ricky Ponting having a small word. I was excited, I was nervous, I was thrilled about today. The motivation was always there but if I needed a little push, I thought that clip did a wonder so thanks very much to Ricky as well.""</p><p>So Raza takes 3 wickets and also is center stage with the final ball runout relay to secure a famous Zimbabwe win, very deserved winner of the Player of the Match award.</p><p><b>Pakistan captain Babar Azam:</b> ""Very disappointing performance in my team. We were not up to the mark in the batting. We had a bad first six overs, but Shadab and Shan built a partnership but unfortunately Shadab out and then back to back wickets and pressure built on the batting. First six overs we are not using the new ball good. Later on we finished well. We'll sit together and learn from our mistakes and come back hard next match.""</p><p><b>Zimbabwe captain Craig Ervine:</b> ""It's so special. Especially for the work that we did to get into the Super 12s and we didn't want our tournament to end there. We wanted to come in and play some really good cricket against some top teams and I thought we did that exceptionally well today. I thought after our batting performance, we thought that we were maybe 20 or 25 short. But our seamers hit their straps early on and there was just a little bit more in the wicket compared to when we started off. Raza came to the party as he always does and picked up a few crucial wickets in the middle there. [On the promise about the watches to Raza] I think he's got three Man of the Matches so I'm gonna be broke by the time we get home. I just want to say thanks to the Zim support that came out today to support us. You guys really lift our spirits wherever we go so a special thanks.""</p><p>Well, Pakistan's semi-final hopes are now hanging on by a thread. Zimbabwe meanwhile are suddenly in a promising position with three points from two matches and three left to play against Netherlands, Bangladesh and India. You never know...</p><p>That'll do it for our live coverage from today's tripleheader. On behalf of my commentary partner Andrew Miller, I'm Peter Della Penna. Take care!</p>"
116010,1298156,BAN v SA,SA,BAN,SA,1,17,1,0,"Shakib Al Hasan to Stubbs, OUT",False,False,False,595978,Tristan Stubbs,7,7,56143,Shakib Al Hasan,1.1,0,21,1,318845,Rilee Rossouw,99,50,330902.0,Mustafizur Rahman,4.0,0.0,25.0,0.0,595978.0,Tristan Stubbs,Shakib Al Hasan,7.0,7.0,T Stubbs c Litton Das b Shakib Al Hasan 7 (9m 7b 1x4 0x6) SR: 100.00,False,"<strong>backs away, and finds deep midwicket!</strong> It was a shortish ball going on with the arm, and ending on middle and off. Stubbs had made room early and was already prepared to get into that ball, as he heaved that across the line. Litton at deep midwicket didn't have to move, as Stubbs' short stay came to an end",<p>Shakib back from around the wicket. He had gone for 21 in his first over.</p>,"<p>Herman: ""Rossouw on 97. He got a hundred in just his previous T20I innings too. Please don't jinx it!"" --- All right...</p>"
11010,1298150,INDIA v PAK,PAK,INDIA,PAK,1,2,1,0,"Arshdeep Singh to Babar Azam, OUT",False,False,False,348144,Babar Azam,0,1,1125976,Arshdeep Singh,0.1,0,0,1,323389,Mohammad Rizwan,0,6,326016.0,Bhuvneshwar Kumar,1.0,0.0,1.0,0.0,348144.0,Babar Azam,Arshdeep Singh,0.0,1.0,Babar Azam lbw b Arshdeep Singh 0 (10m 1b 0x4 0x6) SR: 0.00,False,"<b>full, straight, pinned lbw first ball!</b> Erasmus raises the finger but Babar will <b>review</b>. This looked stone dead live. Full, swinging into the pads. Babar was looking to work it away with a roll of the wrists but it skidded into his shin. Was it doing too much to clip leg stump? Ultra-Edge confirms no bat involved. <b>Pitched in line, impact in line, hitting leg stump three-quarters of the way up!</b> Babar trudges off.","<p>Arshdeep will share the new ball. One slip, over the wicket. ""Babar, Babar!"" is the chant.</p>","<p><b>Alex Malcolm at the MCG:</b> ""I was at the MCG when Shane Warne took his 700th Test wicket. The roar when Marais Erasmus just raised his finger was louder than that.""</p><p>Wow. What a huge moment for Arshdeep Singh and for India! The captain goes first-ball and Arshdeep strikes on the biggest stage.</p>"
119040,1298148,AFG v ENG,AFG,ENG,AFG,1,20,4,0,"Curran to Fazalhaq Farooqi, OUT",False,False,False,974175,Fazalhaq Farooqi,0,2,662973,Sam Curran,3.4,0,10,5,568136,Fareed Ahmad,2,4,247235.0,Chris Woakes,4.0,0.0,24.0,1.0,974175.0,Fazalhaq Farooqi,Sam Curran,0.0,2.0,Fazalhaq Farooqi c Malan b Curran 0 (3m 2b 0x4 0x6) SR: 0.00,False,"<strong>yeah, Curran becomes the first England men's bowler to take a T20I five-for!</strong> Curran went for the yorker length ball yet again, and got that just outside off. Farooqi opened the bat face, and ended up slicing it to Malan at backward point. Malan had to go low and grab that, and he did that perfectly to round off Afghanistan's collapse, and give Curran his fifth",<p>Can Curran get his fifth?</p>,"<p></p>
<div class=""embedded-media-card"" data-id=""1190401"" data-source=""livestream"" data-url=""https://livestream.com/accounts/6115179/events/10657336""></div>
<p>Alan will be with you shortly, in what should be a comfortable chase for England. Or is there a surprise in store? Over to him.</p><p>Paddy: ""Is this the first time where all wickets are lost to catches"" --- Nope, the <a href=""https://www.espncricinfo.com/ask/cricket-qna/most-batters-out-caught-in-an-innings&tournament=menst20i"">second time</a> all 10 batters dismissed caught in a men's T20I innings</p><p>Tokyo Tony: ""What's wrong with 112 for Afghanistan? It would have been good enough to beat Australia"" --- No harm assuming you're an English fan?</p><p>Here comes five-star <strong>Curran</strong>: ""I didn't expect to be walking off like that. We had plans with these boundaries and dimensions as well. The catches and fielding would be a huge factor in the tournament. I was challenged and asked to be ready to bowl in all faces... really enjoying contributing to the team""</p><p><b>8.33pm</b> In the blink of an eye, 82 for 3 became 112 all out. Four out of those seven wickets went to Curran, who became the first England men's bowler to a five-for in T20Is. Some stunning catching featured throughout - Livingstone, Moeen, Rashid and Buttler added to the list today - as England cramped Afghanistan to ensure they don't have a massive score to chase.</p>"
216060,1298146,SCOT v ZIM,SCOT,ZIM,ZIM,2,17,6,0,"Watt to Ervine, OUT",False,False,False,55412,Craig Ervine,58,54,659081,Mark Watt,4.0,0,19,1,951781,Milton Shumba,6,7,807535.0,Brad Wheal,4.0,0.0,26.0,1.0,55412.0,Craig Ervine,Mark Watt,58.0,54.0,CR Ervine c MacLeod b Watt 58 (79m 54b 6x4 0x6) SR: 107.40,False,"<b>Ervine falls, chipping down the ground!</b> Tries to go over mid-off but gets under the shot, and MacLeod backtracks to take a comfortable catch. Zimbabwe's captain departs with the finish line almost in sight. Surely they're not going to muck it up from here...","<p>""What's the calculation for Zimbabwe to finish top in the group?"" Winning by 19.1 or earlier, Archit Athani</p>","<p>Watt finishes with 1 for 19, tidy as ever. But Scotland need to keep taking wickets here</p>"
